,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Khatanga,99,RU,1592462926,34,71.97,102.5,59.02,4.7
1,Fort Atkinson,0,US,1592462926,73,42.93,-88.84,64.0,4.29
2,Port Alfred,0,ZA,1592463086,72,-33.59,26.89,55.99,8.28
3,Butaritari,2,KI,1592462927,66,3.07,172.79,83.57,8.57
4,Cape Town,0,ZA,1592463087,58,-33.93,18.42,53.6,5.82
5,Ushuaia,20,AR,1592462802,86,-54.8,-68.3,33.8,4.7
6,Norwich,100,GB,1592462855,100,52.63,1.3,57.2,9.17
7,Albany,93,US,1592462880,73,42.6,-73.97,66.99,1.68
8,Zhigansk,0,RU,1592462928,41,66.77,123.37,72.73,4.32
9,Busselton,1,AU,1592462929,91,-33.65,115.33,57.0,16.02
10,Dikson,0,RU,1592462929,94,73.51,80.55,32.65,9.37
11,Port Elizabeth,0,ZA,1592462929,81,-33.92,25.57,50.0,3.36
12,Lebu,100,CL,1592462929,87,-37.62,-73.65,52.9,28.14
13,Burnie,87,AU,1592462930,78,-41.07,145.92,51.01,3.0
14,Cayenne,90,GF,1592462930,100,4.93,-52.33,73.4,4.54
15,Mar del Plata,75,AR,1592462930,100,-38.0,-57.56,59.0,11.41
16,Rikitea,25,PF,1592462931,85,-23.12,-134.97,75.72,15.86
17,Kaitangata,4,NZ,1592462931,57,-46.28,169.85,46.99,10.0
18,Saint-Philippe,95,RE,1592462931,64,-21.36,55.77,73.4,19.46
19,Codrington,100,AU,1592462931,76,-38.27,141.97,53.8,9.31
20,Plastun,48,RU,1592462932,70,44.76,136.29,56.53,6.49
21,Ancud,90,CL,1592462932,93,-41.87,-73.82,50.0,28.86
22,Longyearbyen,75,SJ,1592462824,80,78.22,15.64,39.2,4.7
23,Gravdal,20,NO,1592462933,81,68.12,13.5,50.0,21.92
24,Hot Springs,1,US,1592462905,73,34.5,-93.06,71.6,2.44
25,Santa Maria,100,BR,1592462890,70,-29.68,-53.81,68.81,12.68
26,Lorengau,0,PG,1592462933,75,-2.02,147.27,84.74,11.16
27,Vaini,75,TO,1592462934,94,-21.2,-175.2,68.0,6.93
28,Puerto Ayora,14,EC,1592462934,94,-0.74,-90.35,66.99,8.59
29,São João da Barra,0,BR,1592462934,80,-21.64,-41.05,66.38,4.61
30,Provideniya,1,RU,1592462935,58,64.38,-173.3,57.2,4.47
31,Jamestown,20,US,1592462716,72,42.1,-79.24,62.6,3.36
32,Menzel Salem,0,TN,1592462935,42,35.86,8.48,66.2,4.7
33,Imbituva,100,BR,1592463094,97,-25.23,-50.6,55.53,3.18
34,Casambalangan,60,PH,1592463094,62,18.38,122.13,89.62,4.29
35,Fairbanks,75,US,1592463002,30,64.84,-147.72,71.6,11.41
36,Torbay,90,CA,1592463095,76,47.67,-52.73,59.0,20.8
37,Macia,92,MZ,1592463095,91,-25.03,33.1,61.99,9.1
38,Barrow,1,US,1592463095,80,71.29,-156.79,39.2,11.41
39,Hilo,90,US,1592463096,74,19.73,-155.09,78.8,6.93
40,Katsuura,75,JP,1592463096,88,35.13,140.3,75.0,5.82
41,Izazi,20,TZ,1592463097,59,-7.2,35.73,64.4,11.41
42,Ola,100,RU,1592463097,86,59.58,151.28,49.69,6.55
43,Nikolskoye,2,RU,1592463099,69,59.7,30.79,77.0,8.95
44,Kupang,20,ID,1592463101,52,-10.17,123.58,87.8,25.28
45,Zeya,7,RU,1592463101,36,53.75,127.27,72.75,5.73
46,Saskylakh,16,RU,1592463101,47,71.92,114.08,67.57,5.91
47,Ribeira Grande,75,PT,1592463102,77,38.52,-28.7,62.6,13.87
48,Desaguadero,5,PE,1592463102,69,-16.57,-69.04,37.33,6.53
49,Klaksvík,89,FO,1592463102,100,62.23,-6.59,48.2,6.38
50,Hermanus,0,ZA,1592463102,77,-34.42,19.23,50.0,3.0
51,Vega de Alatorre,0,MX,1592463103,80,20.03,-96.63,78.22,4.32
52,Mataura,0,NZ,1592463104,83,-46.19,168.86,39.0,3.0
53,Airai,88,TL,1592463104,85,-8.93,125.41,67.41,5.5
54,East London,0,ZA,1592463059,54,-33.02,27.91,59.0,10.29
